AGID,SOFTVEND,SOFTREG,SPID,TMID,TMREF,OK,Name,Contact,TID,Title,Address,Suburb,State,Pcode,Phone,Mobile,Fax,Email,ABNEntity,ABN,GST,TType,SM2TM,TMComment,LastUPD,Memos
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,0.0,3,ATO,X,ATO,,N,Goverment Department,Locked Bag 1936 ALBURY NSW 1936,,,,,,,,,38346563787,R,,02/05/12 Strata Company Not Monitor,,5/09/2024,Exempt
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,0.0,4,COLL'S CLEANING,A,COLL'S CLEANING,Allan Howie,N,Cleaning,19 Summerlea Avenue MEADOW SPRINGS WA 6210,ST JAMES,,6102,0414 346 600,,,exelby10@bigpond.com,ALLAN & ALISON L HOWIE t/a I C U WINDOW CLEANING,Exempt,X,,10/07/15 TM Requested Deletion: :,,23/05/2024,Deleted SM Data
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,142325.0,5,CHARTER PLUMBING AND GAS,Y,CHARTER PLUMBING AND GAS,Neil Clinch,N,PLUMBING & DRAINAGE,"Unit 2, 9 Alex Wood Drive FORRESTDALE WA 6112",CANNING VALE,,,9360 3777,,9360 3730,service@charterplumbing.com.au,THE CHARTER UNIT TRUSTt/a CHARTER PLUMBING AND GAS,Exempt,R,,01/05/12 Not monitored by Trades Monitor :,,30/07/2024,Exempt
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,91436.0,6,R.E. KELLY PTY LTD,N,R.E. KELLY PTY LTD,David Hornby,N,Builder,PO Box 1314 OSBORNE PARK WA 6919,THORNLIE,,6108,,0418 920 899,,rodkelly@bigpond.net.au,"HORNBY, DAVID",80008399004,R,Company,,,21/06/2013,Yes
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,0.0,7,CHU UNDERWRITING AGENCIES P/L,X,CHU UNDERWRITING AGENCIES P/L,,N,Insurance - Provider,PO Box 7656 Cloisters Square PERTH WA 6850,,,,1300 361 263,,,banking@chu.com.au,,77682742966,N,,03/05/12 Not monitored by Trades Monitor :,,29/06/2014,Exempt
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,51113.0,8,POOLTIME BELMONT,Y,POOLTIME BELMONT,Kirk Ashton,N,POOL & SPA,7/155 Belmont Avenue BELMONT WA 6104,BELMONT,WA,6104,9277 6777,,9277 6777,pooltimebelmont@bigpond.com,THE ASHTON FAMILY TRUST t/a POOLTIME BELMONT,13067097885,R,Company,Approved for Roof Plumbing,,20/04/2023,Yes
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,0.0,9,CANNING IRRIGATION SERVICES,N,CANNING IRRIGATION SERVICES,Lance Hofemann,N,Reticulation,2/10 Whyalla Street WILLETTON WA 6155,WILLETTON,WA,6155,9457 9800,,9354 3265,canningirrigation@iinet.net.au,THE TRUSTEE FOR ARMSTRONG CANNING TRUST & THE TRUSTEE FOR FIELD CANNING TRUST & THE TRUSTEE FOR THE LANCE CANNING TRUST t/a canning irrigation services,49002644171,N,Company,29/11/13 Business Ceased,,,Deleted SM Data
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,0.0,10,PROGRAMMED PROPERTY SERVICES,D,PROGRAMMED PROPERTY SERVICES,Maeve Cullen,N,Property Maintenance,168 Abernethy Road BELMONT WA 6104,CLOVERDALE,WA,,6218 6300,0458 233 102,,ppscredit@programmed.com.au,PROGRAMMED MAINTENANCE SERVICES LIMITED t/a PROGRAMMED FACILITY MANAGEMENT ; PROGRAMMED GROUP ; PROGRAMMED PROPERTY SERVICES,64358432386,N,Company,,,,Deleted SM Data
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,135083.0,11,TURN IT ON ELECTRICAL AND CONS,Y,TURN IT ON ELECTRICAL,Glenn Eccles,N,Electrical,53 Pitonga Way GREENWOOD WA 6024,GREENWOOD,WA,6108,9448 5930,0400 009 579,,admin@turnitonperth.com,The Trustee for Turn It On Trust,45821081470,N,Partnership,01/05/12 NEW-RECORD :,,7/09/2005,Not Monitored
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,101173.0,12,THE LOT PROPERTY SERVICES P/L,R,THE LOT PROPERTY SERVICES P/L,,N,General Repairs/Maintenance,1 Egret Street STIRLING WA 6021,GWELUP,WA,,9204 5334,0400 206 212,9204 5359,office@tlps.com.au,The Lot Property Services Pty Ltd,57908209104,N,,01/05/12 NEW-RECORD :,,,Not Monitored
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,159211.0,16,ENVIRO & ECO SAFE PEST CONTROL,N,ENVIRO & ECO SAFE PEST CONTROL,,N,Pest Control,Rayner Drive LANDSDALE WA 6065,,,,6244 4292,,,info@enviropestcontrol.com.au,,72080932038,N,Company,28.10.15 - No Response 14/3/11 expired PL and WC letter sent. 07/02/11 Expired PL : 12/01/11 No W/C Letter sent,,4/03/2021,No
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,0.0,18,TELSTRA BUSINESS,X,Telstra Corporation Limited,,N,Telephone & Data,GPO Box 9901 MELBOURNE VIC 3001,,,,,,,tbcc@online.telstra.com.au,,33051775556,R,,03/05/12 Not monitored by Trades Monitor :,,26/01/2023,Exempt
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,159788.0,19,CANNING GARDEN SERVICES,N,CANNING GARDEN SERVICES,Craig Swaine,N,Garden Maintenance,10 Newsam Close PARKWOOD WA 6147,PARKWOOD,WA,6147,,,,canninggardenservices@iinet.net.au,The trustee for The Swaine Family Trust,22002861583,R,,03/05/12 Not monitored by Trades Monitor :,,28/03/2024,Exempt
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,,20,ABLEWOMAN SOLUTIONS,,ABLEWOMAN SOLUTIONS,,,Garden Maintenance,6 Shawfield Street KELMSCOTT WA 6112,,,,,0403 534 438,,terryurquhart@hotmail.com,,92799418285,R,Trust,01/05/12 NEW-RECORD :,,9/03/2016,Not Monitored
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,61734.0,21,CREW CUT LAWNMOWING,N,CREW CUT LAWNMOWING,Graeme Hodges,N,Lawnmower,12 Flores Place WAIKIKI WA 6169,WAIKIKI,WA,6169,,0417 930 082,,crewcutlawnmowinggh@gmail.com,"HODGES, GRAEME E t/a CREW CUT LAWNMOWING",,N,,01/05/12 Not monitored by Trades Monitor :,,,Exempt
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,203702.0,22,ROD KING BRICKLAYING,V,ROD KING BRICKLAYING,Rodney James King,N,Fencing,26 Landsborough Way PADBURY WA 6025,PADBURY,WA,6025,0408 129 186,,,,"KING, RODNEY J t/a ROD KING BRICKLAYING",33116562148,R,Company,,,17/11/2015,Yes
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,909.0,18,LIFTRONIC PTY LTD,Y,LIFTRONIC PTY LTD,Alvin Chen,N,LIFT,PO Box 75 BOTANY  NSW  1455,MATRAVILLE,NSW,2036,9666 3922,405373864,,accounts@liftronic.com.au,LIFTRONIC PTY LTD,99002886213,R,Company,22/9/16 SWMS Held - see in scanned section  General Insurance,,3/09/2024,Yes
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,0.0,19,BAY PACIFIC (INSURANCE BROKERS,X,Bay Pacific Insurance Brokers,,N,Insurance Company,PO Box 884 BONDI JUNCTION  NSW  2022,BONDI JUNCTION,NSW,2022,9369 4800,,9369 4811,,,86062184267,N,,29/11/13 Not monitored by Trades Monitor :,,,Exempt
115,MAXSOFT,PROGRESSIVE STRATA SERVICES,0.0,20,SIMONIAN IRINA,Z,Irina Simonian,,N,Cleaner,24 Adelaide Road PADSTOW  NSW  2211,PADSTOW,NSW,2211,9785 3344,0415 232 626,02 8700 1405,,,17277972645,N,,01/05/12 NEW-RECORD :,,25/11/2008,Not Monitored
