AGID,SOFTVEND,SOFTREG,SPID,TMID,TMREF,OK,Name,Contact,TID,Title,Address,Suburb,State,pCode,Phone,Mobile,faX,EMAIl,ABNEntity,ABN,GST,TType,SM2TM,TMComment,LastUPD,Memos
868,MAXsOfT,magiXstrata,0,2,MAGIXSTRATA,X,MAGIXSTRATA,,N,Strata,PO Box 20 SUBIACO PO WA 6904,,,,08 6559 7498,,,,,16004968938,R,,01/05/12 Not monitored by Trades Monitor :,,19/09/2024,Exempt
868,MAXSOFT,magiXstrata,0,3,ATO,X,ATO,,N,Goverment Department,Locked Bag 1936 ALBURY NSW 1936,,,,,,,,,62197379500,N,,02/05/12 Not monitored by Trades Monitor :,,26/02/2018,Exempt
868,MAXSOFT,magiXstrata,0,4,COLL'S CLEANING,A,COLL'S CLEANING,Allan Howie,N,Cleaning,19 Summerlea Avenue MEADOW SPRINGS WA 6210,ST JAMES,,6102,0414 346 600,,,exelby10@bigpond.com,ALLAN & ALISON L HOWIE t/a I C U WINDOW CLEANING,96799381416,N,Partnership,No longer trading under this abn as abn cancelled. New ConID 131064,,5/10/2023,Alert
868,MAXSOFT,magiXstrata,142325,5,CHARTER PLUMBING AND GAS,Y,CHARTER PLUMBING AND GAS,Neil Clinch,N,PLUMBING & DRAINAGE,"Unit 2, 9 Alex Wood Drive FORRESTDALE WA 6112",CANNING VALE,,,9360 3777,,9360 3730,service@charterplumbing.com.au,THE CHARTER UNIT TRUSTt/a CHARTER PLUMBING AND GAS,94837185624,R,Trust,ABN=Trust,,13/08/2024,Yes
868,MAXSOFT,magiXstrata,91436,6,R.E. KELLY PTY LTD,N,R.E. KELLY PTY LTD,David Hornby,N,Builder,PO Box 1314 OSBORNE PARK WA 6919,THORNLIE,,6108,,0418 920 899,,rodkelly@bigpond.net.au,"HORNBY, DAVID",27009427098,R,Individual,"18/12/15 No longer working for MagiXstrata, requested deletion",,17/06/2014,No
868,MAXSOFT,magiXstrata,0,7,CHU UNDERWRITING AGENCIES P/L,X,CHU UNDERWRITING AGENCIES P/L,,N,Insurance - Provider,PO Box 7656 Cloisters Square PERTH WA 6850,,,,1300 361 263,,,banking@chu.com.au,,18001580070,R,,02/05/12 Not monitored by Trades Monitor :,,26/08/2024,Exempt
868,MAXSOFT,magiXstrata,51113,8,POOLTIME BELMONT,Y,POOLTIME BELMONT,Kirk Ashton,N,POOL & SPA,7/155 Belmont Avenue BELMONT WA 6104,BELMONT,WA,6104,9277 6777,,9277 6777,pooltimebelmont@bigpond.com,THE ASHTON FAMILY TRUST t/a POOLTIME BELMONT,22006264523,R,Trust,Service ONLY. Not Licenced for Plumbing or Electrical,,8/05/2024,Yes
868,MAXSOFT,magiXstrata,STRATASPHERE,9,CANNING IRRIGATION SERVICES,N,CANNING IRRIGATION SERVICES,Lance Hofemann,N,Reticulation,2/10 Whyalla Street WILLETTON WA 6155,WILLETTON,WA,6155,9457 9800,,9354 3265,canningirrigation@iinet.net.au,THE TRUSTEE FOR ARMSTRONG CANNING TRUST & THE TRUSTEE FOR FIELD CANNING TRUST & THE TRUSTEE FOR THE LANCE CANNING TRUST t/a canning irrigation services,42918668912,R,Partnership,28/04/16 Expired PL : : Not licenced for mains waterline,,18/09/2024,No
868,MAXSOFT,magiXstrata,0,10,PROGRAMMED PROPERTY SERVICES,D,PROGRAMMED PROPERTY SERVICES,Maeve Cullen,N,Property Maintenance,168 Abernethy Road BELMONT WA 6104,CLOVERDALE,WA,,6218 6300,0458 233 102,,ppscredit@programmed.com.au,PROGRAMMED MAINTENANCE SERVICES LIMITED t/a PROGRAMMED FACILITY MANAGEMENT ; PROGRAMMED GROUP ; PROGRAMMED PROPERTY SERVICES,61054742264,R,Company,05/07/12 NEW-RECORD :,17/08/2015 No Longer Operating under this ABN,20/09/2013,Deleted SM Data
868,MAXSOFT,magiXstrata,135083,11,TURN IT ON ELECTRICAL AND CONS,Y,TURN IT ON ELECTRICAL,Glenn Eccles,N,Electrical,53 Pitonga Way GREENWOOD WA 6024,GREENWOOD,WA,6108,9448 5930,0400 009 579,,admin@turnitonperth.com,The Trustee for Turn It On Trust,73886245626,R,Trust,,,9/09/2024,Yes
