AGID,SoftVend,SoftReg,SPID,TMID,TMRef,OK,Name,Contact,TID,Title,Address,Suburb,State,Pcode,Phone,Mobile,Fax,Email,ABNEntity,ABN,GST,TType,SM2TM,TMComment,LastUPD,Memos
996,PROPERTYIQ,Simply Strata ,0.0,3,ATO,X,ATO,,N,Goverment Department,Locked Bag 1936 ALBURY NSW 1936,,,,,,,sggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg@gmail.com,,,U,,30/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,0.0,4,COLL'S CLEANING,A,COLL'S CLEANING,Allan Howie,N,Cleaning,19 Summerlea Avenue MEADOW SPRINGS WA 6210,ST JAMES,,6102,0414 346 600,,,exelby10@bigpond.com,,,U,,24/08/18 Not monitored by Trades Monitor :,,,
996,PROPERTYIQ,Simply Strata ,142325.0,5,CHARTER PLUMBING AND GAS,Y,CHARTER PLUMBING AND GAS,Neil Clinch,N,PLUMBING & DRAINAGE,"Unit 2, 9 Alex Wood Drive FORRESTDALE WA 6112",CANNING VALE,,,9360 3777,,9360 3730,service@charterplumbing.com.au,,19005838773,R,,4/10/16 SWMS Held - filed externally,,17/07/2024,Description|Status|Comments|Licence - Company - Electrician|2026-05-06||Licence - Supervisor - Electrician|2028-04-19||Public Liability / Product Liability|2025-01-01|$20m|Professional Indemnity|2024-12-31|$10m|Workers Compensation|2025-06-30||OHS Trades Monitor accredited|2016-09-02||SWMS - Held |||
996,PROPERTYIQ,Simply Strata ,91436.0,6,R.E. KELLY PTY LTD,N,R.E. KELLY PTY LTD,David Hornby,N,Builder,PO Box 1314 OSBORNE PARK WA 6919,THORNLIE,,6108,,0418 920 899,,rodkelly@bigpond.net.au,,14652132378,U,,22/08/18 NEW-RECORD :,,30/08/2018,
996,PROPERTYIQ,Simply Strata ,0.0,7,CHU UNDERWRITING AGENCIES P/L,X,CHU UNDERWRITING AGENCIES P/L,,N,Insurance - Provider,PO Box 7656 Cloisters Square PERTH WA 6850,,,,1300 361 263,,,banking@chu.com.au,,44031127339,R,,,,16/07/2024,Description|Status|Comments|Professional Indemnity|2025-06-30|$4.5M|
996,PROPERTYIQ,Simply Strata ,51113.0,8,POOLTIME BELMONT,Y,POOLTIME BELMONT,Kirk Ashton,N,POOL & SPA,7/155 Belmont Avenue BELMONT WA 6104,BELMONT,WA,6104,9277 6777,,9277 6777,pooltimebelmont@bigpond.com,,93132575798,R,,,,29/04/2024,Description|Status|Comments|Workers Compensation|2024-07-31||Public Liability|2024-09-01|$20M|
996,PROPERTYIQ,Simply Strata ,0.0,9,CANNING IRRIGATION SERVICES,N,CANNING IRRIGATION SERVICES,Lance Hofemann,N,Reticulation,2/10 Whyalla Street WILLETTON WA 6155,WILLETTON,WA,6155,9457 9800,,9354 3265,canningirrigation@iinet.net.au,,21886675616,R,,No reponse 26/10/17 s/w and emailed 02/05/11 PL letter sent 25/06/10 Expired PL :,,29/04/2024,Description|Status|Comments|Public Liability|2010-06-24||
996,PROPERTYIQ,Simply Strata ,0.0,10,PROGRAMMED PROPERTY SERVICES,D,PROGRAMMED PROPERTY SERVICES,Maeve Cullen,N,Property Maintenance,168 Abernethy Road BELMONT WA 6104,CLOVERDALE,WA,,6218 6300,0458 233 102,,ppscredit@programmed.com.au,,32002394021,R,,11/04/22 Expired PL :,,13/05/2022,Description|Status|Comments|Public Liability & Professional Indemnity - Pest|2022-04-10|$10M&5M|
996,PROPERTYIQ,Simply Strata ,135083.0,11,TURN IT ON ELECTRICAL AND CONS,Y,TURN IT ON ELECTRICAL,Glenn Eccles,N,Electrical,53 Pitonga Way GREENWOOD WA 6024,GREENWOOD,WA,6108,9448 5930,0400 009 579,,admin@turnitonperth.com,,67569185954,U,,30/08/18 Insufficient Information : No email,,,
996,PROPERTYIQ,Simply Strata ,101173.0,12,THE LOT PROPERTY SERVICES P/L,R,THE LOT PROPERTY SERVICES P/L,,N,General Repairs/Maintenance,1 Egret Street STIRLING WA 6021,GWELUP,WA,,9204 5334,0400 206 212,9204 5359,office@tlps.com.au,,65976033156,R,,22/08/18 NEW-RECORD :,,30/08/2018,
